Title,description,price,Capacity,Grape,closure,country,Characteristics,type,ABV,region,style,vintage
Fletcher Barbaresco Roncaglie DOCG 2021,"Fletcher Barbaresco Roncaglie DOCG 2021 (Brunello) is a refined red wine from England, specifically the Surrey region. Produced from the 2021 vintage, it offers flavors of ginger, caramel, black currant and is best described as Bold & Spicy. Alcohol content: 14.5%.",$11.89,0.75,Brunello,Natural Cork,England,"ginger, caramel, black currant",Red,14.5%,Surrey,Bold & Spicy,2021
Roland Lavantureux Vaudesir Chablis Grand Cru,"Roland Lavantureux Vaudesir Chablis Grand Cru (Sauvignon Blanc) is a refined white wine from New Zealand, specifically the Waipara region. Produced from the 2001 vintage, it offers flavors of peach, apricot, raspberry and is best described as Light & Refreshing. Alcohol content: 11.5%.",$12.00,0.75,Sauvignon Blanc,Natural Cork,New Zealand,"peach, apricot, raspberry",White,11.5%,Waipara,Light & Refreshing,2001
ArPePe Sassella Rocce Rosse Valtellina Superiore Riserva,"ArPePe Sassella Rocce Rosse Valtellina Superiore Riserva (Mourvèdre) is a refined red wine from Georgia, specifically the K region. Produced from the 2000 vintage, it offers flavors of chocolate, mango, hazelnut and is best described as Savoury & Full Bodied. Alcohol content: 13.0%.",$36.40,0.75,Mourvèdre,Natural Cork,Georgia,"chocolate, mango, hazelnut",Red,13.0%,K,Savoury & Full Bodied,2000
ArPePe Grumello Buon Consiglio Valtellina Superiore,"ArPePe Grumello Buon Consiglio Valtellina Superiore (Malbec) is a refined red wine from Chile, specifically the Central Valley region. Produced from the 2014 vintage, it offers flavors of coffee, tobacco, propolis and is best described as Crisp & Fruity. Alcohol content: 14.5%.",$53.00,0.75,Malbec,Natural Cork,Chile,"coffee, tobacco, propolis",Red,14.5%,Central Valley,Crisp & Fruity,2014
Barbacarlo Provincia di Pavia Rosso 2020,"Barbacarlo Provincia di Pavia Rosso 2020 (Amarone) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 2020 vintage, it offers flavors of pineapple, tropical fruit, minerals and is best described as Soft & Fruity. Alcohol content: 12.0%.",$59.00,0.75,Amarone,Natural Cork,Argentina,"pineapple, tropical fruit, minerals",Red,12.0%,Mendoza,Soft & Fruity,2020
La Palazzina Bramaterra DOC 2010,"La Palazzina Bramaterra DOC 2010 (Aglianico) is a refined red wine from Austria, specifically the Lower Austria region. Produced from the 2010 vintage, it offers flavors of red fruit, raisin, date and is best described as Light & Refreshing. Alcohol content: 15.0%.",$32.13,0.75,Aglianico,Natural Cork,Austria,"red fruit, raisin, date",Red,15.0%,Lower Austria,Light & Refreshing,2010
Cloudy Bay TE WAHI,"Cloudy Bay TE WAHI (Tannat) is a refined red wine from Hungary, specifically the g region. Produced from the 2010 vintage, it offers flavors of blueberry, mushrooms, date and is best described as Light & Refreshing. Alcohol content: 12.5%.",$45.21,0.75,Tannat,Natural Cork,Hungary,"blueberry, mushrooms, date",Red,12.5%,g,Light & Refreshing,2010
Graziano Pra Colle Sant Antonio Soave Classico,"Graziano Pra Colle Sant Antonio Soave Classico (Soave) is a refined white wine from Italy, specifically the Campania region. Produced from the 1998 vintage, it offers flavors of propolis, black currant, honeysuckle and is best described as Savoury & Full Bodied. Alcohol content: 14.0%.",$36.77,1.5,Soave,Natural Cork,Italy,"propolis, black currant, honeysuckle",White,14.0%,Campania,Savoury & Full Bodied,1998
Domaine de Beaurenard Châteauneuf-du-Pape Gran Partita 2016,"Domaine de Beaurenard Châteauneuf-du-Pape Gran Partita 2016 (Petit Verdot) is a refined red wine from Portugal, specifically the Douro region. Produced from the 2016 vintage, it offers flavors of chocolate, strawberry, pineapple and is best described as Savoury & Full Bodied. Alcohol content: 12.0%.",$31.00,0.75,Petit Verdot,Natural Cork,Portugal,"chocolate, strawberry, pineapple",Red,12.0%,Douro,Savoury & Full Bodied,2016
Barbacarlo Provincia di Pavia Rosso 2021,"Barbacarlo Provincia di Pavia Rosso 2021 (Pinot Noir) is a refined red wine from Serbia, specifically the r region. Produced from the 2021 vintage, it offers flavors of vanilla, caramel, nuts and is best described as Bold & Spicy. Alcohol content: 12.0%.",$46.69,0.75,Pinot Noir,Natural Cork,Serbia,"vanilla, caramel, nuts",Red,12.0%,r,Bold & Spicy,2021
Bressan Pignol 2010,"Bressan Pignol 2010 (Amarone) is a refined red wine from Austria, specifically the Styria region. Produced from the 2010 vintage, it offers flavors of black currant, strawberry, pepper and is best described as Ripe & Rounded. Alcohol content: 14.0%.",$19.40,0.75,Amarone,Natural Cork,Austria,"black currant, strawberry, pepper",Red,14.0%,Styria,Ripe & Rounded,2010
Domini Veneti Mater Amarone della Valpolicella Classico Riserva,"Domini Veneti Mater Amarone della Valpolicella Classico Riserva (Valpolicella) is a refined red wine from Romania, specifically the m region. Produced from the 2013 vintage, it offers flavors of flowers, incense, chocolate and is best described as Rich & Juicy. Alcohol content: 13.5%.",$46.00,0.75,Valpolicella,Natural Cork,Romania,"flowers, incense, chocolate",Red,13.5%,m,Rich & Juicy,2013
Chateau Pontet-Canet Pauillac,"Chateau Pontet-Canet Pauillac (Montepulciano) is a refined red wine from Chile, specifically the Central Valley region. Produced from the 2011 vintage, it offers flavors of cinnamon, mint, pineapple and is best described as Bold & Spicy. Alcohol content: 14.5%.",$16.75,0.75,Montepulciano,Natural Cork,Chile,"cinnamon, mint, pineapple",Red,14.5%,Central Valley,Bold & Spicy,2011
Château Pontet Canet 2011,"Château Pontet Canet 2011 (Grenache) is a refined red wine from Lebanon, specifically the n region. Produced from the 2011 vintage, it offers flavors of caramel, clove, flowers and is best described as Light & Refreshing. Alcohol content: 13.5%.",$54.00,0.75,Grenache,Natural Cork,Lebanon,"caramel, clove, flowers",Red,13.5%,n,Light & Refreshing,2011
Dario Princic Venezia Giulia Cabernet Sauvignon 2011,"Dario Princic Venezia Giulia Cabernet Sauvignon 2011 (Cabernet Sauvignon) is a refined red wine from England, specifically the Hampshire region. Produced from the 2011 vintage, it offers flavors of mint, peanut, chocolate and is best described as Aromatic & Floral. Alcohol content: 12.0%.",$8.00,0.75,Cabernet Sauvignon,Natural Cork,England,"mint, peanut, chocolate",Red,12.0%,Hampshire,Aromatic & Floral,2011
Don Melchor Cabernet Sauvignon 2021,"Don Melchor Cabernet Sauvignon 2021 (Cabernet Sauvignon) is a refined red wine from Greece, specifically the G region. Produced from the 2021 vintage, it offers flavors of coffee, red berries, blueberry and is best described as Rich & Toasty. Alcohol content: 11.0%.",$43.00,0.75,Cabernet Sauvignon,Natural Cork,Greece,"coffee, red berries, blueberry",Red,11.0%,G,Rich & Toasty,2021
Comm. G.B. Burlotto Barolo Monvigliero,"Comm. G.B. Burlotto Barolo Monvigliero (Roussanne) is a refined red wine from Germany, specifically the m region. Produced from the 2006 vintage, it offers flavors of mushrooms, honeysuckle, nuts and is best described as Rich & Juicy. Alcohol content: 11.5%.",$25.65,0.75,Roussanne,Natural Cork,Germany,"mushrooms, honeysuckle, nuts",Red,11.5%,m,Rich & Juicy,2006
Comm. G.B. Burlotto Barolo Monvigliero 2018,"Comm. G.B. Burlotto Barolo Monvigliero 2018 (Petite Sirah) is a refined red wine from Serbia, specifically the i region. Produced from the 2018 vintage, it offers flavors of raspberry, asparagus, mushrooms and is best described as Rich & Juicy. Alcohol content: 13.0%.",$24.00,0.75,Petite Sirah,Natural Cork,Serbia,"raspberry, asparagus, mushrooms",Red,13.0%,i,Rich & Juicy,2018
David Duband Clos Vougeot,"David Duband Clos Vougeot (Marsanne) is a refined red wine from Portugal, specifically the Dao region. Produced from the 2011 vintage, it offers flavors of flowers, honey, honey and is best described as Ripe & Fruity. Alcohol content: 14.5%.",$23.77,0.75,Marsanne,Natural Cork,Portugal,"flowers, honey, honey",Red,14.5%,Dao,Ripe & Fruity,2011
David Duband Clos Vougeot 2017,"David Duband Clos Vougeot 2017 (Port) is a refined red wine from England, specifically the Hampshire region. Produced from the 2017 vintage, it offers flavors of pear, peanut, chocolate and is best described as Ripe & Fruity. Alcohol content: 14.5%.",$54.14,0.75,Port,Natural Cork,England,"pear, peanut, chocolate",Red,14.5%,Hampshire,Ripe & Fruity,2017
David Duband Charmes Chambertin,"David Duband Charmes Chambertin (Montepulciano) is a refined red wine from Austria, specifically the Styria region. Produced from the 2020 vintage, it offers flavors of minerals, earth, red fruit and is best described as Bold & Spicy. Alcohol content: 15.0%.",$27.00,0.75,Montepulciano,Natural Cork,Austria,"minerals, earth, red fruit",Red,15.0%,Styria,Bold & Spicy,2020
Pierre Naigeon Bonnes Mares,"Pierre Naigeon Bonnes Mares (Grenache) is a refined red wine from Portugal, specifically the Dao region. Produced from the 2005 vintage, it offers flavors of wax, almond, blackberry and is best described as Ripe & Fruity. Alcohol content: 14.0%.",$40.98,0.75,Grenache,Natural Cork,Portugal,"wax, almond, blackberry",Red,14.0%,Dao,Ripe & Fruity,2005
Pierre Naigeon Charmes Chambertin,"Pierre Naigeon Charmes Chambertin (Malbec) is a refined red wine from Italy, specifically the Abruzzo region. Produced from the 2013 vintage, it offers flavors of peach, oak, hay and is best described as Aromatic & Floral. Alcohol content: 11.5%.",$53.37,0.75,Malbec,Natural Cork,Italy,"peach, oak, hay",Red,11.5%,Abruzzo,Aromatic & Floral,2013
Comm. G.B. Burlotto Barolo Cannubi 2019,"Comm. G.B. Burlotto Barolo Cannubi 2019 (Marsanne) is a refined red wine from Slovenia, specifically the a region. Produced from the 2019 vintage, it offers flavors of black currant, flint, sweetness and is best described as Fresh & Elegant. Alcohol content: 14.5%.",$56.00,0.75,Marsanne,Natural Cork,Slovenia,"black currant, flint, sweetness",Red,14.5%,a,Fresh & Elegant,2019
Comm. G.B. Burlotto Barolo Castelletto 2019,"Comm. G.B. Burlotto Barolo Castelletto 2019 (Malbec) is a refined red wine from Lebanon, specifically the b region. Produced from the 2019 vintage, it offers flavors of pepper, propolis, mango and is best described as Light & Refreshing. Alcohol content: 14.0%.",$10.84,0.75,Malbec,Natural Cork,Lebanon,"pepper, propolis, mango",Red,14.0%,b,Light & Refreshing,2019
Vega Sicilia Unico,"Vega Sicilia Unico (Malbec) is a refined red wine from Slovenia, specifically the S region. Produced from the 2001 vintage, it offers flavors of caramel, vanilla, vanilla and is best described as Light & Refreshing. Alcohol content: 15.0%.",$7.59,0.75,Malbec,Natural Cork,Slovenia,"caramel, vanilla, vanilla",Red,15.0%,S,Light & Refreshing,2001
Solaia 2008,"Solaia 2008 (Cinsault) is a refined red wine from Bulgaria, specifically the l region. Produced from the 2008 vintage, it offers flavors of peach, tropical fruit, pear and is best described as Ripe & Rounded. Alcohol content: 13.5%.",$38.46,0.75,Cinsault,Natural Cork,Bulgaria,"peach, tropical fruit, pear",Red,13.5%,l,Ripe & Rounded,2008
Box Set Domini Veneti Amarone Espressioni  5*,"Box Set Domini Veneti Amarone Espressioni  5* (Amarone) is a refined red wine from USA, specifically the Oregon region. Produced from the 2011 vintage, it offers flavors of tobacco, oak, peanut and is best described as Aromatic & Floral. Alcohol content: 13.0%.",$23.00,0.75,Amarone,Natural Cork,USA,"tobacco, oak, peanut",Red,13.0%,Oregon,Aromatic & Floral,2011
Sassicaia 2018,"Sassicaia 2018 (Carmenere) is a refined red wine from Italy, specifically the Piedmont region. Produced from the 2018 vintage, it offers flavors of peach, asparagus, ginger and is best described as Light & Refreshing. Alcohol content: 13.5%.",$6.32,0.75,Carmenere,Natural Cork,Italy,"peach, asparagus, ginger",Red,13.5%,Piedmont,Light & Refreshing,2018
Verite La Joie,"Verite La Joie (Petite Sirah) is a refined red wine from USA, specifically the Oregon region. Produced from the 2010 vintage, it offers flavors of nuts, minerals, propolis and is best described as Aromatic & Floral. Alcohol content: 14.0%.",$48.00,0.75,Petite Sirah,Natural Cork,USA,"nuts, minerals, propolis",Red,14.0%,Oregon,Aromatic & Floral,2010
Verite La Muse,"Verite La Muse (Merlot) is a refined red wine from USA, specifically the California region. Produced from the 2016 vintage, it offers flavors of black currant, mulberry, strawberry and is best described as Crisp & Zesty. Alcohol content: 14.0%.",$20.00,0.75,Merlot,Natural Cork,USA,"black currant, mulberry, strawberry",Red,14.0%,California,Crisp & Zesty,2016
Verite Le Desir,"Verite Le Desir (Touriga Nacional) is a refined red wine from USA, specifically the California region. Produced from the 2003 vintage, it offers flavors of propolis, clove, cinnamon and is best described as Rich & Juicy. Alcohol content: 11.5%.",$51.00,0.75,Touriga Nacional,Natural Cork,USA,"propolis, clove, cinnamon",Red,11.5%,California,Rich & Juicy,2003
Château Latour 2013,"Château Latour 2013 (Madeira) is a refined red wine from Moldova, specifically the o region. Produced from the 2013 vintage, it offers flavors of mushrooms, coconut, plum and is best described as Rich & Toasty. Alcohol content: 11.5%.",$29.00,0.75,Madeira,Natural Cork,Moldova,"mushrooms, coconut, plum",Red,11.5%,o,Rich & Toasty,2013
Château Haut-Brion 2018,"Château Haut-Brion 2018 (Amarone) is a refined red wine from Italy, specifically the Campania region. Produced from the 2018 vintage, it offers flavors of green pepper, raspberry, green pepper and is best described as Delicate & Dry. Alcohol content: 15.0%.",$41.69,0.75,Amarone,Natural Cork,Italy,"green pepper, raspberry, green pepper",Red,15.0%,Campania,Delicate & Dry,2018
Chateau Mouton Rothschild 2011,"Chateau Mouton Rothschild 2011 (Gamay) is a refined red wine from Portugal, specifically the Douro region. Produced from the 2011 vintage, it offers flavors of leather, minerals, raspberry and is best described as Crisp & Fruity. Alcohol content: 11.5%.",$7.03,0.75,Gamay,Natural Cork,Portugal,"leather, minerals, raspberry",Red,11.5%,Douro,Crisp & Fruity,2011
Quinta Do Noval Port Vintage 2003,"Quinta Do Noval Port Vintage 2003 (Port) is a refined red wine from Portugal, specifically the Douro region. Produced from the 2003 vintage, it offers flavors of lemon zest, strawberry, spice and is best described as Savoury & Full Bodied. Alcohol content: 13.0%.",$24.00,0.75,Port,Natural Cork,Portugal,"lemon zest, strawberry, spice",Red,13.0%,Douro,Savoury & Full Bodied,2003
Quinta Do Noval Port Vintage 1994,"Quinta Do Noval Port Vintage 1994 (Port) is a refined red wine from Portugal, specifically the Alentejo region. Produced from the 1994 vintage, it offers flavors of red berries, perfume, nuts and is best described as Rich & Toasty. Alcohol content: 14.5%.",$56.00,0.75,Port,Natural Cork,Portugal,"red berries, perfume, nuts",Red,14.5%,Alentejo,Rich & Toasty,1994
Jack Rabbit Chardonnay,"Jack Rabbit Chardonnay (Chardonnay) is a refined white wine from USA, specifically the California region. Produced from the 2005 vintage, it offers flavors of green apple, mint, blackberry and is best described as Soft & Fruity. Alcohol content: 12.0%.",$15.44,0.75,Chardonnay,Natural Cork,USA,"green apple, mint, blackberry",White,12.0%,California,Soft & Fruity,2005
Jack Rabbit Merlot,"Jack Rabbit Merlot (Merlot) is a refined red wine from USA, specifically the California region. Produced from the 2006 vintage, it offers flavors of apricot, nuts, tobacco and is best described as Soft & Fruity. Alcohol content: 14.0%.",$46.00,0.75,Merlot,Natural Cork,USA,"apricot, nuts, tobacco",Red,14.0%,California,Soft & Fruity,2006
Terre Allegre Puglia Trebbiano,"Terre Allegre Puglia Trebbiano (Trebbiano) is a refined white wine from New Zealand, specifically the Martinborough region. Produced from the 2005 vintage, it offers flavors of pear, lemon zest, date and is best described as Bold & Spicy. Alcohol content: 13.0%.",$18.68,0.75,Trebbiano,Natural Cork,New Zealand,"pear, lemon zest, date",White,13.0%,Martinborough,Bold & Spicy,2005
Don Simon Blanco,"Don Simon Blanco (Prosecco) is a refined white wine from Germany, specifically the n region. Produced from the 1998 vintage, it offers flavors of flowers, honeysuckle, pineapple and is best described as Rich & Toasty. Alcohol content: 14.0%.",$26.40,0.75,Prosecco,Natural Cork,Germany,"flowers, honeysuckle, pineapple",White,14.0%,n,Rich & Toasty,1998
Don Simon Rosado,"Don Simon Rosado (Gamay) is a refined rose wine from Hungary, specifically the u region. Produced from the 2022 vintage, it offers flavors of flowers, violet, mulberry and is best described as Smooth & Light. Alcohol content: 12.5%.",$47.25,0.75,Gamay,Natural Cork,Hungary,"flowers, violet, mulberry",Rose,12.5%,u,Smooth & Light,2022
Jack Rabbit White Zinfandel,"Jack Rabbit White Zinfandel (Zinfandel) is a refined rose wine from USA, specifically the Oregon region. Produced from the 2006 vintage, it offers flavors of sweetness, mango, berries and is best described as Savoury & Full Bodied. Alcohol content: 12.0%.",$19.78,0.75,Zinfandel,Natural Cork,USA,"sweetness, mango, berries",Rose,12.0%,Oregon,Savoury & Full Bodied,2006
Terra Fresca Bianco,"Terra Fresca Bianco (Gruner Veltliner) is a refined white wine from Italy, specifically the Lombardy region. Produced from the 2004 vintage, it offers flavors of asparagus, flowers, honeysuckle and is best described as Rich & Juicy. Alcohol content: 13.0%.",$32.00,0.75,Gruner Veltliner,Natural Cork,Italy,"asparagus, flowers, honeysuckle",White,13.0%,Lombardy,Rich & Juicy,2004
Echo Falls Red,"Echo Falls Red (Cabernet Sauvignon) is a refined red wine from USA, specifically the California region. Produced from the 2022 vintage, it offers flavors of date, almond, citrus and is best described as Delicate & Dry. Alcohol content: 15.0%.",$48.56,0.75,Cabernet Sauvignon,Natural Cork,USA,"date, almond, citrus",Red,15.0%,California,Delicate & Dry,2022
Barbadillo Castillo Palomino,"Barbadillo Castillo Palomino (Viognier) is a refined white wine from Italy, specifically the Basilicata region. Produced from the 2011 vintage, it offers flavors of black fruit, nuts, mint and is best described as Soft & Fruity. Alcohol content: 12.5%.",$54.00,0.75,Viognier,Natural Cork,Italy,"black fruit, nuts, mint",White,12.5%,Basilicata,Soft & Fruity,2011
Domaine de la Clapiere Figuerette,"Domaine de la Clapiere Figuerette (Orvieto) is a refined white wine from Slovenia, specifically the o region. Produced from the 2019 vintage, it offers flavors of minerals, fruit, hay and is best described as Ripe & Rounded. Alcohol content: 15.0%.",$47.00,0.75,Orvieto,Natural Cork,Slovenia,"minerals, fruit, hay",White,15.0%,o,Ripe & Rounded,2019
Domaine de la Clapiere Jardin de Jules,"Domaine de la Clapiere Jardin de Jules (Petite Sirah) is a refined red wine from Serbia, specifically the S region. Produced from the 2008 vintage, it offers flavors of sweetness, raspberry, minerals and is best described as Smooth & Mellow. Alcohol content: 14.5%.",$9.00,0.75,Petite Sirah,Natural Cork,Serbia,"sweetness, raspberry, minerals",Red,14.5%,S,Smooth & Mellow,2008
Arpeggio Nerello Mascalese,"Arpeggio Nerello Mascalese (Carignan) is a refined red wine from Georgia, specifically the e region. Produced from the 2000 vintage, it offers flavors of honeysuckle, green pepper, chocolate and is best described as Smooth & Mellow. Alcohol content: 12.0%.",$17.39,0.75,Carignan,Natural Cork,Georgia,"honeysuckle, green pepper, chocolate",Red,12.0%,e,Smooth & Mellow,2000
Arpeggio Catarratto,"Arpeggio Catarratto (Pinot Grigio) is a refined white wine from Romania, specifically the a region. Produced from the 2007 vintage, it offers flavors of blackberry, pear, pear and is best described as Crisp & Zesty. Alcohol content: 12.5%.",$7.19,0.75,Pinot Grigio,Natural Cork,Romania,"blackberry, pear, pear",White,12.5%,a,Crisp & Zesty,2007
Wave Rosso,"Wave Rosso (Valpolicella) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 2009 vintage, it offers flavors of nuts, strawberry, leather and is best described as Bold & Spicy. Alcohol content: 13.0%.",$38.00,0.75,Valpolicella,Natural Cork,Argentina,"nuts, strawberry, leather",Red,13.0%,Mendoza,Bold & Spicy,2009
Wave Rosato,"Wave Rosato (Tempranillo) is a refined rose wine from Argentina, specifically the San Juan region. Produced from the 2020 vintage, it offers flavors of honey, flint, black fruit and is best described as Light & Refreshing. Alcohol content: 12.0%.",$32.00,0.75,Tempranillo,Natural Cork,Argentina,"honey, flint, black fruit",Rose,12.0%,San Juan,Light & Refreshing,2020
Anakena Merlot,"Anakena Merlot (Merlot) is a refined red wine from England, specifically the Sussex region. Produced from the 2008 vintage, it offers flavors of ginger, tropical fruit, chocolate and is best described as Smooth & Light. Alcohol content: 13.5%.",$17.00,0.75,Merlot,Natural Cork,England,"ginger, tropical fruit, chocolate",Red,13.5%,Sussex,Smooth & Light,2008
Anakena Cabernet Sauvignon,"Anakena Cabernet Sauvignon (Cabernet Sauvignon) is a refined red wine from Australia, specifically the Victoria region. Produced from the 2009 vintage, it offers flavors of hazelnut, vanilla, raspberry and is best described as Ripe & Fruity. Alcohol content: 11.5%.",$32.00,0.75,Cabernet Sauvignon,Natural Cork,Australia,"hazelnut, vanilla, raspberry",Red,11.5%,Victoria,Ripe & Fruity,2009
Anakena Sauvignon Blanc,"Anakena Sauvignon Blanc (Sauvignon Blanc) is a refined white wine from Hungary, specifically the n region. Produced from the 2004 vintage, it offers flavors of perfume, grape, strawberry and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$11.00,0.75,Sauvignon Blanc,Natural Cork,Hungary,"perfume, grape, strawberry",White,11.5%,n,Savoury & Full Bodied,2004
Chozas Carrascal Las Dosces Bayas Blanco,"Chozas Carrascal Las Dosces Bayas Blanco (Prosecco) is a refined white wine from Argentina, specifically the Mendoza region. Produced from the 2019 vintage, it offers flavors of almond, cinnamon, peach and is best described as Fresh & Elegant. Alcohol content: 15.0%.",$55.50,0.75,Prosecco,Natural Cork,Argentina,"almond, cinnamon, peach",White,15.0%,Mendoza,Fresh & Elegant,2019
El Sotillo Blanco Cosecha,"El Sotillo Blanco Cosecha (Albarino) is a refined white wine from New Zealand, specifically the Gisborne region. Produced from the 2020 vintage, it offers flavors of leather, nuts, pepper and is best described as Rich & Toasty. Alcohol content: 13.5%.",$38.00,0.75,Albarino,Natural Cork,New Zealand,"leather, nuts, pepper",White,13.5%,Gisborne,Rich & Toasty,2020
El Sotillo Tinto Cosecha,"El Sotillo Tinto Cosecha (Tempranillo) is a refined red wine from Portugal, specifically the Alentejo region. Produced from the 2010 vintage, it offers flavors of incense, spice, cinnamon and is best described as Rich & Juicy. Alcohol content: 13.5%.",$5.02,0.75,Tempranillo,Natural Cork,Portugal,"incense, spice, cinnamon",Red,13.5%,Alentejo,Rich & Juicy,2010
Terra Fresca Rosso,"Terra Fresca Rosso (Amarone) is a refined red wine from France, specifically the Burgundy region. Produced from the 2015 vintage, it offers flavors of propolis, black currant, date and is best described as Bold & Spicy. Alcohol content: 13.0%.",$17.32,0.75,Amarone,Natural Cork,France,"propolis, black currant, date",Red,13.0%,Burgundy,Bold & Spicy,2015
Terra Fresca Bianco Amabile,"Terra Fresca Bianco Amabile (Prosecco) is a refined white wine from Argentina, specifically the San Juan region. Produced from the 2003 vintage, it offers flavors of pepper, flowers, earth and is best described as Delicate & Dry. Alcohol content: 12.0%.",$5.97,0.75,Prosecco,Natural Cork,Argentina,"pepper, flowers, earth",White,12.0%,San Juan,Delicate & Dry,2003
Terra Fresca Rosso Amabile,"Terra Fresca Rosso Amabile (Grenache) is a refined red wine from Portugal, specifically the Dao region. Produced from the 2002 vintage, it offers flavors of raspberry, flint, asparagus and is best described as Smooth & Light. Alcohol content: 12.0%.",$54.82,0.75,Grenache,Natural Cork,Portugal,"raspberry, flint, asparagus",Red,12.0%,Dao,Smooth & Light,2002
Terre Allegre Puglia Sangiovese,"Terre Allegre Puglia Sangiovese (Sangiovese) is a refined red wine from Serbia, specifically the e region. Produced from the 2008 vintage, it offers flavors of pepper, wax, pineapple and is best described as Ripe & Rounded. Alcohol content: 12.5%.",$26.00,0.75,Sangiovese,Natural Cork,Serbia,"pepper, wax, pineapple",Red,12.5%,e,Ripe & Rounded,2008
Borgo San Leo Pinot Grigio delle Venezie,"Borgo San Leo Pinot Grigio delle Venezie (Orvieto) is a refined white wine from Slovenia, specifically the a region. Produced from the 2018 vintage, it offers flavors of peach, passion fruit, minerals and is best described as Smooth & Mellow. Alcohol content: 15.0%.",$33.69,0.75,Orvieto,Natural Cork,Slovenia,"peach, passion fruit, minerals",White,15.0%,a,Smooth & Mellow,2018
Terras de Alleu Tinto,"Terras de Alleu Tinto (Nero d Avola) is a refined red wine from Serbia, specifically the a region. Produced from the 2009 vintage, it offers flavors of oak, cinnamon, pepper and is best described as Light & Refreshing. Alcohol content: 11.0%.",$59.00,0.75,Nero d Avola,Natural Cork,Serbia,"oak, cinnamon, pepper",Red,11.0%,a,Light & Refreshing,2009
Terras de Alleu Branco,"Terras de Alleu Branco (Vernaccia) is a refined white wine from New Zealand, specifically the Marlborough region. Produced from the 2008 vintage, it offers flavors of strawberry, clove, black fruit and is best described as Light & Refreshing. Alcohol content: 13.0%.",$48.00,0.75,Vernaccia,Natural Cork,New Zealand,"strawberry, clove, black fruit",White,13.0%,Marlborough,Light & Refreshing,2008
Don Simon Tinto,"Don Simon Tinto (Tempranillo) is a refined red wine from Lebanon, specifically the a region. Produced from the 2022 vintage, it offers flavors of blackberry, earth, spice and is best described as Ripe & Fruity. Alcohol content: 14.5%.",$25.65,0.75,Tempranillo,Natural Cork,Lebanon,"blackberry, earth, spice",Red,14.5%,a,Ripe & Fruity,2022
Jack Rabbit Medium Sweet White,"Jack Rabbit Medium Sweet White (Cortese) is a refined white wine from USA, specifically the California region. Produced from the 2024 vintage, it offers flavors of spice, flowers, oak and is best described as Ripe & Rounded. Alcohol content: 11.5%.",$42.78,0.75,Cortese,Natural Cork,USA,"spice, flowers, oak",White,11.5%,California,Ripe & Rounded,2024
Borgo San Leo Chianti,"Borgo San Leo Chianti (Carmenere) is a refined red wine from Austria, specifically the Burgenland region. Produced from the 2003 vintage, it offers flavors of cinnamon, black fruit, pear and is best described as Ripe & Rounded. Alcohol content: 14.5%.",$10.34,0.75,Carmenere,Natural Cork,Austria,"cinnamon, black fruit, pear",Red,14.5%,Burgenland,Ripe & Rounded,2003
Saporito Garganega-Chardonnay,"Saporito Garganega-Chardonnay (Chardonnay) is a refined white wine from Romania, specifically the a region. Produced from the 2014 vintage, it offers flavors of coffee, chocolate, mulberry and is best described as Rich & Juicy. Alcohol content: 11.5%.",$20.86,0.75,Chardonnay,Natural Cork,Romania,"coffee, chocolate, mulberry",White,11.5%,a,Rich & Juicy,2014
Saporito Merlot Raboso,"Saporito Merlot Raboso (Merlot) is a refined red wine from Chile, specifically the North region. Produced from the 2017 vintage, it offers flavors of plum, spice, grass and is best described as Crisp & Fruity. Alcohol content: 11.5%.",$34.00,0.75,Merlot,Natural Cork,Chile,"plum, spice, grass",Red,11.5%,North,Crisp & Fruity,2017
Saporito Trebbiano Pinot Grigio,"Saporito Trebbiano Pinot Grigio (Trebbiano) is a refined white wine from Austria, specifically the Styria region. Produced from the 2007 vintage, it offers flavors of flowers, hay, raspberry and is best described as Light & Elegant. Alcohol content: 13.5%.",$28.13,0.75,Trebbiano,Natural Cork,Austria,"flowers, hay, raspberry",White,13.5%,Styria,Light & Elegant,2007
Echo Falls Rose,"Echo Falls Rose (Cinsault) is a refined rose wine from USA, specifically the California region. Produced from the 2002 vintage, it offers flavors of vanilla, red fruit, minerals and is best described as Ripe & Fruity. Alcohol content: 13.0%.",$44.00,0.75,Cinsault,Natural Cork,USA,"vanilla, red fruit, minerals",Rose,13.0%,California,Ripe & Fruity,2002
Richebaron Moelleux Rouge,"Richebaron Moelleux Rouge (Dolcetto) is a refined red wine from England, specifically the Hampshire region. Produced from the 2021 vintage, it offers flavors of pepper, hazelnut, red fruit and is best described as Fresh & Elegant. Alcohol content: 14.0%.",$20.00,0.75,Dolcetto,Natural Cork,England,"pepper, hazelnut, red fruit",Red,14.0%,Hampshire,Fresh & Elegant,2021
Arpeggio Rose,"Arpeggio Rose (Nebbiolo) is a refined rose wine from Argentina, specifically the San Juan region. Produced from the 2014 vintage, it offers flavors of peanut, wax, spice and is best described as Rich & Juicy. Alcohol content: 13.5%.",$31.00,0.75,Nebbiolo,Natural Cork,Argentina,"peanut, wax, spice",Rose,13.5%,San Juan,Rich & Juicy,2014
